Country,Period,Sex,Value
Ireland,2020,Female,78.53
Ireland,2020,Both sexes,83.21
Ireland,2020,Male,88.05
Israel,2020,Female,49.43
Israel,2020,Both sexes,59.76
Israel,2020,Male,70.4
Italy,2020,Female,64.86
Italy,2020,Both sexes,73.21
Italy,2020,Male,82.15
Jamaica,2020,Female,35.86
Jamaica,2020,Both sexes,46.18
Jamaica,2020,Male,56.79
Japan,2020,Female,59.04
Japan,2020,Both sexes,67.5
Japan,2020,Male,76.57
Jordan,2020,Male,10.72
Jordan,2020,Female,4.04
Jordan,2020,Both sexes,7.54
Kazakhstan,2020,Female,16.32
Kazakhstan,2020,Both sexes,24.51
Kazakhstan,2020,Male,33.88
Kenya,2020,Female,20.19
Kenya,2020,Both sexes,29.05
Kenya,2020,Male,38.19
Kiribati,2020,Female,17.27
Kiribati,2020,Both sexes,25.24
Kiribati,2020,Male,34.11
Kuwait,2020,Female,0.36
Kuwait,2020,Both sexes,0.83
Kuwait,2020,Male,1.11
Kyrgyzstan,2020,Female,10.43
Kyrgyzstan,2020,Both sexes,16.82
Kyrgyzstan,2020,Male,23.71
Lao People's Democratic Republic,2020,Female,47.81
Lao People's Democratic Republic,2020,Both sexes,57.39
Lao People's Democratic Republic,2020,Male,66.92
Latvia,2020,Female,68.48
Latvia,2020,Both sexes,74.99
Latvia,2020,Male,82.88
Lebanon,2020,Both sexes,12.72
Lebanon,2020,Male,18.44
Lebanon,2020,Female,7.57
Lesotho,2020,Female,15.16
Lesotho,2020,Both sexes,23.39
Lesotho,2020,Male,31.95
Liberia,2020,Female,30.42
Liberia,2020,Both sexes,40.38
Liberia,2020,Male,50.69
Libya,2020,Female,0.64
Libya,2020,Both sexes,1.26
Libya,2020,Male,1.87
Lithuania,2020,Female,68.61
Lithuania,2020,Both sexes,75.15
Lithuania,2020,Male,82.8
Luxembourg,2020,Female,79.65
Luxembourg,2020,Both sexes,84.2
Luxembourg,2020,Male,88.71
Madagascar,2020,Female,20.09
Madagascar,2020,Both sexes,29.03
Madagascar,2020,Male,38.05
Malawi,2020,Female,20.51
Malawi,2020,Both sexes,28.77
Malawi,2020,Male,37.87
Malaysia,2020,Both sexes,16.26
Malaysia,2020,Male,22.69
Malaysia,2020,Female,9.56
Maldives,2020,Female,2.5
Maldives,2020,Both sexes,5.51
Maldives,2020,Male,7.57
Mali,2020,Both sexes,15.99
Mali,2020,Male,22.09
Mali,2020,Female,9.79
Malta,2020,Female,69.18
Malta,2020,Both sexes,77.28
Malta,2020,Male,84.82
Marshall Islands,2016,Both sexes,
Marshall Islands,2016,Female,
Marshall Islands,2016,Male,
Mauritania,2020,Female,0.95
Mauritania,2020,Both sexes,1.74
Mauritania,2020,Male,2.61
Mauritius,2020,Female,32.39
Mauritius,2020,Both sexes,43.44
Mauritius,2020,Male,54.87
Mexico,2020,Female,32.95
Mexico,2020,Both sexes,42.04
Mexico,2020,Male,51.78
Micronesia (Federated States of),2020,Female,19.07
Micronesia (Federated States of),2020,Both sexes,27.76
Micronesia (Federated States of),2020,Male,36.47
Monaco,2016,Both sexes,
Monaco,2016,Female,
Monaco,2016,Male,
Mongolia,2020,Female,46.35
Mongolia,2020,Both sexes,55.67
Mongolia,2020,Male,65.42
Montenegro,2016,Female,40.4
Montenegro,2016,Both sexes,54
Montenegro,2016,Male,68.2
Morocco,2020,Male,10.44
Morocco,2020,Female,3.84
Morocco,2020,Both sexes,7.14
Mozambique,2020,Female,15.94
Mozambique,2020,Both sexes,23.6
Mozambique,2020,Male,31.84
Myanmar,2020,Female,27.63
Myanmar,2020,Both sexes,38.23
Myanmar,2020,Male,49.14
Namibia,2020,Female,17.3
Namibia,2020,Both sexes,25.64
Namibia,2020,Male,34.87
Nauru,2020,Female,23.06
Nauru,2020,Both sexes,32.35
Nauru,2020,Male,41.6
Nepal,2020,Female,17.85
Nepal,2020,Both sexes,25.81
Nepal,2020,Male,35.08
Netherlands (Kingdom of the),2020,Female,69.83
Netherlands (Kingdom of the),2020,Both sexes,76.88
Netherlands (Kingdom of the),2020,Male,84.09
New Zealand,2020,Female,74.45
New Zealand,2020,Both sexes,80.28
New Zealand,2020,Male,86.31
Nicaragua,2020,Female,29.55
Nicaragua,2020,Both sexes,38.71
Nicaragua,2020,Male,48.39
Niger,2020,Male,12.81
Niger,2020,Female,5.17
Niger,2020,Both sexes,9.04
Nigeria,2020,Female,16.69
Nigeria,2020,Both sexes,25.2
Nigeria,2020,Male,33.58
Niue,2020,Female,28.28
Niue,2020,Both sexes,38.58
Niue,2020,Male,50.41
North Macedonia,2020,Female,30.13
North Macedonia,2020,Both sexes,41.72
North Macedonia,2020,Male,53.55
Norway,2020,Female,70.9
Norway,2020,Both sexes,77.82
Norway,2020,Male,84.68
Oman,2020,Both sexes,13.71
Oman,2020,Male,17.45
Oman,2020,Female,6.48
Pakistan,2020,Female,0.96
Pakistan,2020,Both sexes,1.57
Pakistan,2020,Male,2.19
Palau,2016,Both sexes,
Palau,2016,Female,
Palau,2016,Male,
Panama,2020,Female,33.63
Panama,2020,Both sexes,42.97
Panama,2020,Male,52.46
Papua New Guinea,2020,Female,18.44
Papua New Guinea,2020,Both sexes,27.02
Papua New Guinea,2020,Male,35.09
Paraguay,2020,Female,42.78
Paraguay,2020,Both sexes,51.79
Paraguay,2020,Male,60.85
Peru,2020,Female,58.57
Peru,2020,Both sexes,65.51
Peru,2020,Male,72.71
Philippines,2020,Female,35.42
Philippines,2020,Both sexes,46
Philippines,2020,Male,56.46
Poland,2020,Female,65.9
Poland,2020,Both sexes,73.48
Poland,2020,Male,81.74
Portugal,2020,Female,69.01
Portugal,2020,Both sexes,76.22
Portugal,2020,Male,84.48
Qatar,2020,Female,17.11
Qatar,2020,Both sexes,31.94
Qatar,2020,Male,36.47
Republic of Korea,2020,Female,64.81
Republic of Korea,2020,Both sexes,72.48
Republic of Korea,2020,Male,80.24
Republic of Moldova,2020,Female,61.49
Republic of Moldova,2020,Both sexes,69.24
Republic of Moldova,2020,Male,78.09
Romania,2020,Female,68.9
Romania,2020,Both sexes,75.9
Romania,2020,Male,83.53
Russian Federation,2020,Female,47.46
Russian Federation,2020,Both sexes,58.31
Russian Federation,2020,Male,71.35
Rwanda,2020,Female,24.36
Rwanda,2020,Both sexes,33.45
Rwanda,2020,Male,43.37
Saint Kitts and Nevis,2020,Female,41.64
Saint Kitts and Nevis,2020,Both sexes,51.28
Saint Kitts and Nevis,2020,Male,61.69
Saint Lucia,2020,Female,47.38
Saint Lucia,2020,Both sexes,57.01
Saint Lucia,2020,Male,66.92
Saint Vincent and the Grenadines,2020,Female,40.2
Saint Vincent and the Grenadines,2020,Both sexes,50.6
Saint Vincent and the Grenadines,2020,Male,60.53
Samoa,2020,Female,20.22
Samoa,2020,Both sexes,29.11
Samoa,2020,Male,37.83
San Marino,2016,Both sexes,
San Marino,2016,Female,
San Marino,2016,Male,
Sao Tome and Principe,2020,Female,42.25
Sao Tome and Principe,2020,Both sexes,52.3
Sao Tome and Principe,2020,Male,62.46
Saudi Arabia,2020,Female,0.84
Saudi Arabia,2020,Both sexes,1.87
Saudi Arabia,2020,Male,2.54
Senegal,2020,Male,14.06
Senegal,2020,Female,5.71
Senegal,2020,Both sexes,9.72
Serbia,2016,Female,47
Serbia,2016,Both sexes,60
Serbia,2016,Male,73.8
Seychelles,2020,Female,49.59
Seychelles,2020,Both sexes,60.53
Seychelles,2020,Male,70.14
Sierra Leone,2020,Both sexes,17.35
Sierra Leone,2020,Male,25.56
Sierra Leone,2020,Female,9.19
Singapore,2020,Female,53.86
Singapore,2020,Both sexes,62.92
Singapore,2020,Male,71.15
Slovakia,2020,Female,64.85
Slovakia,2020,Both sexes,72.76
Slovakia,2020,Male,81.19
Slovenia,2020,Female,62.91
Slovenia,2020,Both sexes,71.36
Slovenia,2020,Male,79.82
Solomon Islands,2020,Female,18.51
Solomon Islands,2020,Both sexes,26.8
Solomon Islands,2020,Male,34.91
Somalia,2020,Female,0.49
Somalia,2020,Both sexes,0.92
Somalia,2020,Male,1.36
South Africa,2020,Female,20.07
South Africa,2020,Both sexes,29.62
South Africa,2020,Male,40.1
South Sudan,2016,Both sexes,
South Sudan,2016,Female,
South Sudan,2016,Male,
Spain,2020,Female,69.11
Spain,2020,Both sexes,76.59
Spain,2020,Male,84.51
Sri Lanka,2020,Female,26.99
Sri Lanka,2020,Both sexes,37.27
Sri Lanka,2020,Male,48.69
Sudan,2020,Male,10.08
Sudan,2020,Female,3.91
Sudan,2020,Both sexes,6.96
Suriname,2020,Female,34.55
Suriname,2020,Both sexes,44.72
Suriname,2020,Male,55.1
Sweden,2020,Female,70.4
Sweden,2020,Both sexes,77.53
Sweden,2020,Male,84.63
Switzerland,2020,Female,73.75
Switzerland,2020,Both sexes,79.96
Switzerland,2020,Male,86.34
Syrian Arab Republic,2020,Female,0.78
Syrian Arab Republic,2020,Both sexes,1.5
Syrian Arab Republic,2020,Male,2.22
Tajikistan,2020,Both sexes,11.86
Tajikistan,2020,Male,16.74
Tajikistan,2020,Female,7.02
Thailand,2020,Female,39.98
Thailand,2020,Both sexes,50.72
Thailand,2020,Male,62.31
Timor-Leste,2020,Female,24.89
Timor-Leste,2020,Both sexes,34.5
Timor-Leste,2020,Male,43.88
Togo,2020,Female,26.37
Togo,2020,Both sexes,36.5
Togo,2020,Male,46.59
Tonga,2020,Female,16.62
Tonga,2020,Both sexes,24.27
Tonga,2020,Male,32.47
Trinidad and Tobago,2020,Female,40.71
Trinidad and Tobago,2020,Both sexes,50.89
Trinidad and Tobago,2020,Male,61.49
Turkiye,2020,Female,5.69
Tunisia,2020,Male,12.57
Tunisia,2020,Female,4.65
Tunisia,2020,Both sexes,8.51
Turkiye,2020,Both sexes,10.32
Turkiye,2020,Male,14.99
Turkmenistan,2020,Female,10.06
Turkmenistan,2020,Both sexes,16.41
Turkmenistan,2020,Male,23.1
Tuvalu,2020,Female,17.98
Tuvalu,2020,Both sexes,27.02
Tuvalu,2020,Male,35.66
Uganda,2020,Female,32.78
Uganda,2020,Both sexes,41.92
Uganda,2020,Male,51.52
Ukraine,2020,Female,57.72
Ukraine,2020,Both sexes,66.1
Ukraine,2020,Male,76.2
United Arab Emirates,2020,Male,12.04
United Arab Emirates,2020,Female,4.31
United Arab Emirates,2020,Both sexes,9.94
United Kingdom of Great Britain and Northern Ireland,2020,Female,71.03
United Kingdom of Great Britain and Northern Ireland,2020,Both sexes,77.92
United Kingdom of Great Britain and Northern Ireland,2020,Male,85.09
United Republic of Tanzania,2020,Female,22.06
United Republic of Tanzania,2020,Both sexes,30.78
United Republic of Tanzania,2020,Male,40.01
United States of America,2020,Female,63.85
United States of America,2020,Both sexes,71.14
United States of America,2020,Male,78.68
Uruguay,2020,Female,59.85
Uruguay,2020,Both sexes,67.39
Uruguay,2020,Male,75.66
