Country,Period,Sex,Value
Samoa,2020,Female,14
Samoa,2020,Both sexes,23.7
Samoa,2020,Male,33.4
Sao Tome and Principe,2020,Female,0.9
Sao Tome and Principe,2020,Male,10.1
Sao Tome and Principe,2020,Both sexes,5.5
Saudi Arabia,2020,Both sexes,13.9
Saudi Arabia,2020,Female,2.1
Saudi Arabia,2020,Male,25.6
Senegal,2020,Female,0.6
Senegal,2020,Male,12.7
Senegal,2020,Both sexes,6.7
Serbia,2020,Female,39.2
Serbia,2020,Both sexes,40.1
Serbia,2020,Male,41
Seychelles,2020,Both sexes,20.5
Seychelles,2020,Male,35.1
Seychelles,2020,Female,5.8
Sierra Leone,2020,Both sexes,12.6
Sierra Leone,2020,Male,21
Sierra Leone,2020,Female,4.3
Singapore,2020,Both sexes,16.3
Singapore,2020,Male,27.7
Singapore,2020,Female,4.9
Slovakia,2020,Female,27.6
Slovakia,2020,Both sexes,32.3
Slovakia,2020,Male,37
Slovenia,2020,Female,18.9
Slovenia,2020,Both sexes,20.6
Slovenia,2020,Male,22.3
Solomon Islands,2020,Female,19.9
Solomon Islands,2020,Both sexes,37.3
Solomon Islands,2020,Male,54.6
South Africa,2020,Both sexes,20.9
South Africa,2020,Male,34.9
South Africa,2020,Female,6.9
Spain,2020,Female,27.5
Spain,2020,Both sexes,28.9
Spain,2020,Male,30.3
Sri Lanka,2020,Female,0.2
Sri Lanka,2020,Male,18.5
Sri Lanka,2020,Both sexes,9.3
Sweden,2020,Female,13.1
Sweden,2020,Both sexes,13.8
Sweden,2020,Male,14.4
Switzerland,2020,Female,23.1
Switzerland,2020,Both sexes,25.8
Switzerland,2020,Male,28.6
Thailand,2020,Female,1.6
Thailand,2020,Both sexes,19.7
Thailand,2020,Male,37.8
Timor-Leste,2020,Both sexes,32.7
Timor-Leste,2020,Female,5.3
Timor-Leste,2020,Male,60.1
Togo,2020,Female,0.6
Togo,2020,Male,10.6
Togo,2020,Both sexes,5.6
Tonga,2020,Female,15.3
Tonga,2020,Both sexes,31.5
Tonga,2020,Male,47.6
